date,cases,country,size
04-04-2020,32425,United States of America,10
05-04-2020,48,China,10
05-04-2020,472,India,10
05-04-2020,4805,Italy,10
05-04-2020,336,Japan,10
05-04-2020,582,Russia,10
05-04-2020,34272,United States of America,10
06-04-2020,67,China,10
06-04-2020,693,India,10
06-04-2020,4316,Italy,10
06-04-2020,383,Japan,10
06-04-2020,658,Russia,10
06-04-2020,25398,United States of America,10
07-04-2020,56,China,10
07-04-2020,354,India,10
07-04-2020,3599,Italy,10
07-04-2020,163,Japan,10
07-04-2020,954,Russia,10
07-04-2020,30561,United States of America,10
08-04-2020,86,China,10
08-04-2020,773,India,10
08-04-2020,3039,Italy,10
08-04-2020,89,Japan,10
08-04-2020,1154,Russia,10
08-04-2020,30613,United States of America,10
09-04-2020,86,China,10
09-04-2020,540,India,10
09-04-2020,3836,Italy,10
09-04-2020,351,Japan,10
09-04-2020,1175,Russia,10
09-04-2020,33323,United States of America,10
10-04-2020,55,China,10
10-04-2020,678,India,10
10-04-2020,4204,Italy,10
10-04-2020,410,Japan,10
10-04-2020,1459,Russia,10
10-04-2020,33901,United States of America,10
11-04-2020,79,China,10
11-04-2020,1035,India,10
11-04-2020,3951,Italy,10
11-04-2020,680,Japan,10
11-04-2020,1786,Russia,10
11-04-2020,35527,United States of America,10
12-04-2020,93,China,10
12-04-2020,909,India,10
12-04-2020,4694,Italy,10
12-04-2020,1401,Japan,10
12-04-2020,1667,Russia,10
12-04-2020,28391,United States of America,10
13-04-2020,112,China,10
13-04-2020,796,India,10
13-04-2020,4092,Italy,10
13-04-2020,507,Japan,10
13-04-2020,2186,Russia,10
13-04-2020,27620,United States of America,10
14-04-2020,94,China,10
14-04-2020,1211,India,10
14-04-2020,3153,Italy,10
14-04-2020,390,Japan,10
14-04-2020,2558,Russia,10
14-04-2020,25023,United States of America,10
15-04-2020,49,China,10
15-04-2020,1075,India,10
15-04-2020,2972,Italy,10
15-04-2020,455,Japan,10
15-04-2020,2774,Russia,10
15-04-2020,26922,United States of America,10
16-04-2020,50,China,10
16-04-2020,942,India,10
16-04-2020,2667,Italy,10
16-04-2020,482,Japan,10
16-04-2020,3388,Russia,10
16-04-2020,30148,United States of America,10
17-04-2020,352,China,10
17-04-2020,1007,India,10
17-04-2020,3786,Italy,10
17-04-2020,585,Japan,10
17-04-2020,3448,Russia,10
17-04-2020,31667,United States of America,10
18-04-2020,31,China,10
18-04-2020,991,India,10
18-04-2020,3493,Italy,10
18-04-2020,628,Japan,10
18-04-2020,4070,Russia,10
18-04-2020,30833,United States of America,10
19-04-2020,18,China,10
19-04-2020,1334,India,10
19-04-2020,3491,Italy,10
19-04-2020,566,Japan,10
19-04-2020,4785,Russia,10
19-04-2020,32922,United States of America,10
20-04-2020,14,China,10
20-04-2020,1553,India,10
20-04-2020,3047,Italy,10
20-04-2020,390,Japan,10
20-04-2020,6060,Russia,10
20-04-2020,24601,United States of America,10
21-04-2020,32,China,10
21-04-2020,1335,India,10
21-04-2020,2256,Italy,10
21-04-2020,367,Japan,10
21-04-2020,4268,Russia,10
21-04-2020,28065,United States of America,10
22-04-2020,15,China,10
22-04-2020,1384,India,10
22-04-2020,2729,Italy,10
22-04-2020,378,Japan,10
22-04-2020,5642,Russia,10
22-04-2020,37289,United States of America,10
23-04-2020,12,China,10
23-04-2020,1409,India,10
23-04-2020,3370,Italy,10
23-04-2020,276,Japan,10
23-04-2020,5236,Russia,10
23-04-2020,17588,United States of America,10
24-04-2020,8,China,10
24-04-2020,1684,India,10
24-04-2020,2646,Italy,10
24-04-2020,468,Japan,10
24-04-2020,4774,Russia,10
24-04-2020,26543,United States of America,10
25-04-2020,15,China,10
25-04-2020,1429,India,10
25-04-2020,3021,Italy,10
25-04-2020,652,Japan,10
25-04-2020,5849,Russia,10
25-04-2020,21352,United States of America,10
26-04-2020,10,China,10
26-04-2020,1990,India,10
26-04-2020,2357,Italy,10
26-04-2020,290,Japan,10
26-04-2020,5966,Russia,10
26-04-2020,48529,United States of America,10
27-04-2020,3,China,10
27-04-2020,1396,India,10
27-04-2020,2324,Italy,10
27-04-2020,203,Japan,10
27-04-2020,6361,Russia,10
27-04-2020,26857,United States of America,10
28-04-2020,26,China,10
28-04-2020,1543,India,10
28-04-2020,1739,Italy,10
28-04-2020,191,Japan,10
28-04-2020,6198,Russia,10
28-04-2020,22541,United States of America,10
29-04-2020,2,China,10
29-04-2020,1897,India,10
29-04-2020,2091,Italy,10
29-04-2020,276,Japan,10
29-04-2020,6411,Russia,10
29-04-2020,24132,United States of America,10
30-04-2020,4,China,10
30-04-2020,1718,India,10
30-04-2020,2086,Italy,10
30-04-2020,236,Japan,10
30-04-2020,5841,Russia,10
30-04-2020,27326,United States of America,10
01-05-2020,12,China,10
01-05-2020,1993,India,10
01-05-2020,1872,Italy,10
01-05-2020,193,Japan,10
01-05-2020,7099,Russia,10
01-05-2020,29917,United States of America,10
02-05-2020,3,China,10
02-05-2020,2293,India,10
